标识位,命令单元,车辆识别号,软件版本号,加密方式,数据单元长度,时间,信息流水号,信息类型,obd诊断协议,mil状态,支持诊断状态,诊断就绪状态,车辆识别号,软件标定识别号,标定验证码,iupr值,故障码总数,数据类型,车速,大气压值,发动机扭矩,摩擦扭矩,发动机转速,发动机燃料流量,上nox,下nox,尿素箱液位,进气量,入口温度,出口温度,dpf压差,冷却液温度,油箱液位,定位状态,纬度,经度,里程,补充位,发动机扭矩模式,油门踏板,累计油耗,尿素箱温度,实际尿素喷射量,累计尿素喷射量,dpf排气温度,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79196,115.326,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.794,115.3194,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79668,115.313,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8001,115.3063,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.80253,115.2999,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.80398,115.2932,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.80585,115.286,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.80897,115.2795,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81238,115.2732,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81467,115.2662,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81615,115.2587,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81825,115.2516,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82058,115.2447,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82265,115.2377,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82355,115.2306,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8232,115.2231,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82165,115.2158,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81956,115.2089,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81802,115.2018,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81693,115.1946,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8157,115.1875,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81378,115.1803,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81172,115.1732,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81022,115.1658,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.80952,115.1582,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.80955,115.1506,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81032,115.1432,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81148,115.136,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81268,115.1288,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81392,115.1214,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81517,115.114,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.81662,115.107,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8185,115.1002,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82075,115.0938,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82332,115.0872,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8259,115.0805,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82784,115.0735,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82862,115.0664,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82942,115.0595,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83043,115.0558,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83098,115.0545,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83135,115.0541,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83177,115.0538,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83287,115.0533,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83308,115.053,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83327,115.0527,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83338,115.0523,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83345,115.0519,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83344,115.0515,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83335,115.0511,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83313,115.0506,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.83262,115.0492,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8311,115.0426,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.8292,115.0377,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82698,115.0338,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82437,115.0307,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.82107,115.028,100,80,1,50,50,50,50,50,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.81752,115.0263,,,,,,,,,,,,
