终端号,报警标志,状态,纬度,经度,高程,速度,方向,位置附加信息,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.894576,112.144563,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.894775,112.143945,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.89484,112.143522,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.894848,112.142936,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.894877,112.14222,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.894974,112.141959,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.895048,112.141861,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.900732,112.1361,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903051,112.133203,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903454,112.132405,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903731,112.131949,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903979,112.131608,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904423,112.130859,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904484,112.130533,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904532,112.130208,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904642,112.128548,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.90461,112.128385,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904496,112.128076,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904341,112.127766,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903515,112.126253,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903409,112.125976,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903356,112.125667,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903381,112.125358,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903417,112.125195,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903474,112.125048,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903535,112.124886,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.903678,112.124609,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904256,112.123486,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904679,112.122737,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904785,112.122623,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.904899,112.122526,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.905187,112.122526,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.905362,112.122607,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.906335,112.123177,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.906884,112.123632,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.907539,112.124381,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.908133,112.125309,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.909041,112.12705,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.909965,112.128776,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.910453,112.129557,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.911507,112.130875,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.912654,112.132259,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.913598,112.133382,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.914404,112.134635,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.91501,112.135921,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.915804,112.137337,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.915856,112.137304,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.915922,112.13719,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.915962,112.137044,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.916011,112.136881,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.916267,112.136083,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.916581,112.135058,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.916743,112.134488,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.916935,112.13387,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917041,112.132893,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917081,112.131852,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917138,112.130517,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917252,112.129557,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917504,112.128743,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917647,112.12858,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.917838,112.128515,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.91805,112.128483,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.919128,112.128548,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.919702,112.128759,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.920817,112.129248,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.921044,112.129313,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.921476,112.129329,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.921793,112.129231,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.922798,112.128694,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.922884,112.128629,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.923636,112.127815,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.924308,112.12679,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.924845,112.125504,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.925382,112.124072,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.925419,112.123909,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.925541,112.123242,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.925793,112.121712,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.926017,112.120296,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.926131,112.118733,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.926188,112.117187,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.926367,112.115804,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.926652,112.114404,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.926936,112.113004,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.927254,112.112027,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.927469,112.111653,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.92773,112.111328,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.928694,112.110253,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.929728,112.109179,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.930061,112.108951,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.930533,112.108707,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.931758,112.108089,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.932808,112.107535,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.933813,112.106998,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.93479,112.106477,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935257,112.106136,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935396,112.105908,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935518,112.105664,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935648,112.105273,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935709,112.10485,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935758,112.103483,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935811,112.102115,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935884,112.100585,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.935953,112.099007,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.936018,112.097412,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.936088,112.095784,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.936173,112.094547,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.936291,112.093994,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.936511,112.093277,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.937019,112.091699,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.937508,112.090152,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.938012,112.088574,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.938472,112.087174,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.938541,112.086962,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.938655,112.086425,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.938753,112.086246,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.939237,112.085465,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.93988,112.084619,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.940702,112.083561,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.941406,112.08247,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.941552,112.082047,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.942016,112.080696,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.942447,112.07941,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.942635,112.078417,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.942854,112.076676,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.94309,112.074902,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.943343,112.073486,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.943518,112.07303,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.943745,112.072607,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.944706,112.071305,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.945467,112.070296,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.946171,112.069368,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.946472,112.068994,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.946773,112.068587,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.947172,112.068131,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.947229,112.068082,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.947896,112.067513,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.948726,112.066829,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.949666,112.066031,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.950606,112.065185,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.950817,112.064892,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.951021,112.064567,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.95166,112.063346,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.952298,112.062125,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.952575,112.061669,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.952827,112.061393,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.953116,112.061197,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.953336,112.061132,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.953702,112.061067,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.954915,112.060921,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.955704,112.060725,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.956075,112.06053,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.95642,112.060286,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.957613,112.058837,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.958304,112.057958,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.958646,112.057617,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.958813,112.0576,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.959025,112.0576,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.959659,112.057714,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.960591,112.057828,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.962471,112.05804,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.962703,112.057958,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.96291,112.057845,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.961568,112.057975,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.963785,112.057291,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.964473,112.056819,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.965087,112.056542,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.966158,112.056233,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.966373,112.056119,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.966695,112.055891,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.967679,112.055126,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.968554,112.054296,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.968717,112.054036,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.968839,112.053727,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.968929,112.053385,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.969441,112.051334,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.969567,112.050895,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.970076,112.049446,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.970902,112.047509,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.971638,112.045491,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.971993,112.04401,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.972379,112.042431,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.972835,112.040722,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.972969,112.040364,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.973396,112.039485,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.974373,112.037727,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.975036,112.036816,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.975459,112.036458,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.976253,112.035937,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.97799,112.035074,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.979858,112.03444,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.982454,112.034212,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.984134,112.034195,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.985184,112.034114,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.985335,112.034065,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.985717,112.033821,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.986535,112.033007,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.986787,112.032666,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.987068,112.032177,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.987695,112.030794,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.988285,112.029264,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.988338,112.029101,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.988716,112.027832,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.988753,112.027701,300,50,0,油量：40%；速度4；里程：1200,,,,
