终端号,报警标志,状态,纬度,经度,高程,速度,方向,位置附加信息
15566669216,,ACC开，已定位，GPS定位,23.132302,113.260473,200,60,0,
15566669217,,ACC开，已定位，GPS定位,26.078517,119.29334,200,60,0,
15566669218,,ACC开，已定位，GPS定位,20.049129,110.189923,200,60,0,
15566669219,,ACC开，已定位，GPS定位,22.189601,113.53938,200,60,0,
15566669220,,ACC开，已定位，GPS定位,22.189601,113.53938,200,60,0,
15566669221,,ACC开，已定位，GPS定位,25.049408,121.508196,200,60,0,
15566669222,,ACC开，已定位，GPS定位,22.537131,113.897913,200,60,0,
15566669223,,ACC开，已定位，GPS定位,22.544163,113.889309,200,60,0,
15566669224,,ACC开，已定位，GPS定位,22.549636,113.88508,200,60,0,
15566669225,,ACC开，已定位，GPS定位,22.554561,113.887215,200,60,0,
15566669226,,ACC开，已定位，GPS定位,22.559698,113.893213,200,60,0,
15566669227,,ACC开，已定位，GPS定位,22.568971,113.904156,200,60,0,
15566669228,,ACC开，已定位，GPS定位,22.574544,113.910572,200,60,0,
15566669229,,ACC开，已定位，GPS定位,22.581825,113.919,200,60,0,
15566669230,,ACC开，已定位，GPS定位,22.584356,113.924718,200,60,0,
15566669231,,ACC开，已定位，GPS定位,22.581555,113.930799,200,60,0,
15566669232,,ACC开，已定位，GPS定位,22.581555,113.930799,200,60,0,
15566669233,,ACC开，已定位，GPS定位,22.580683,113.954386,200,60,0,
15566669234,,ACC开，已定位，GPS定位,22.581951,113.965303,200,60,0,
15566669235,,ACC开，已定位，GPS定位,22.584449,113.98477,200,60,0,
15566669236,,ACC开，已定位，GPS定位,22.590101,113.99965,200,60,0,
15566669237,,ACC开，已定位，GPS定位,22.599442,114.010223,200,60,0,
15566669238,,ACC开，已定位，GPS定位,22.603517,114.014938,200,60,0,
15566669239,,ACC开，已定位，GPS定位,22.610525,114.030326,200,60,0,
15566669240,,ACC开，已定位，GPS定位,22.62189,114.023454,200,60,0,
15566669241,,ACC开，已定位，GPS定位,22.637135,114.012795,200,60,0,
15566669242,,ACC开，已定位，GPS定位,22.642834,114.010041,200,60,0,
15566669243,,ACC开，已定位，GPS定位,22.64473,114.011999,200,60,0,
15566669244,,ACC开，已定位，GPS定位,22.651631,114.022406,200,60,0,
15566669245,,ACC开，已定位，GPS定位,22.66409,114.036527,200,60,0,
15566669246,,ACC开，已定位，GPS定位,22.651631,114.022406,200,60,0,
15566669247,,ACC开，已定位，GPS定位,22.64473,114.011999,200,60,0,
15566669248,,ACC开，已定位，GPS定位,22.642834,114.010041,200,60,0,
15566669249,,ACC开，已定位，GPS定位,22.637135,114.012795,200,60,0,
15566669250,,ACC开，已定位，GPS定位,22.62189,114.023454,200,60,0,
15566669251,,ACC开，已定位，GPS定位,22.610525,114.030326,200,60,0,
15566669252,,ACC开，已定位，GPS定位,22.603517,114.014938,200,60,0,
